Date,Close,High,Low,Open,Last_Close,Delta,Delta_Pct,Count,Value,,,,,,,
9/1/2017,3367.1194,3381.9252,3358.4724,3365.9913,3360.8103,6.3091,0.1877,282497584,3.14E+11,,,,,,,
8/31/2017,3360.8103,3367.3581,3340.6865,3361.4621,3363.6266,-2.8163,-0.0837,234419781,2.69E+11,,,,,,,
8/30/2017,3363.6266,3376.6481,3357.0803,3361.8207,3365.2261,-1.5995,-0.0475,246863312,2.80E+11,,,,,,,
8/29/2017,3365.2261,3374.5947,3354.4627,3362.0604,3362.6514,2.5747,0.0766,219504535,2.69E+11,,,,,,,
8/28/2017,3362.6514,3375.0339,3336.1264,3336.1264,3331.5221,31.1293,0.9344,257461438,3.05E+11,,,,,,,
8/25/2017,3331.5221,3331.9146,3271.4608,3271.4608,3271.5117,60.0104,1.8343,205839482,2.27E+11,,,,,,,
8/24/2017,3271.5117,3297.9886,3266.3589,3287.9594,3287.7049,-16.1932,-0.4925,163468937,1.86E+11,,,,,,,
8/23/2017,3287.7049,3299.4572,3274.4404,3283.7966,3290.2257,-2.5208,-0.0766,179832208,2.04E+11,,,,,,,
8/22/2017,3290.2257,3293.476,3274.941,3287.6147,3286.9055,3.3202,0.101,186537991,2.23E+11,,,,,,,
8/21/2017,3286.9055,3287.5186,3270.4753,3274.5805,3268.7243,18.1812,0.5562,186122483,2.10E+11,,,,,,,
8/18/2017,3268.7243,3275.0763,3248.0833,3253.2434,3268.4298,0.2945,0.009,191122483,2.18E+11,,,,,,,
8/17/2017,3268.4298,3269.1389,3251.4593,3253.8455,3246.4512,21.9786,0.677,203622551,2.28E+11,,,,,,,
8/16/2017,3246.4512,3248.785,3228.8705,3247.8525,3251.2617,-4.8105,-0.148,176852051,2.01E+11,,,,,,,
8/15/2017,3251.2617,3263.5892,3235.1013,3235.2298,3237.3602,13.9015,0.4294,182297997,2.05E+11,,,,,,,
8/14/2017,3237.3602,3240.0517,3206.0436,3206.0436,3208.5413,28.8189,0.8982,190346796,2.09E+11,,,,,,,
8/11/2017,3208.5413,3245.1163,3200.7481,3237.9222,3261.7494,-53.2081,-1.6313,262962995,2.67E+11,,,,,,,
8/10/2017,3261.7494,3282.519,3236.1829,3269.7347,3275.573,-13.8236,-0.422,240684622,2.52E+11,,,,,,,
8/9/2017,3275.573,3277.9433,3263.8468,3277.8083,3281.8728,-6.2998,-0.192,235597907,2.38E+11,,,,,,,
8/8/2017,3281.8728,3285.4833,3269.6582,3277.1887,3279.4566,2.4162,0.0737,252043537,2.56E+11,,,,,,,
8/7/2017,3279.4566,3280.1035,3243.7153,3257.67,3262.0809,17.3757,0.5327,231173379,2.32E+11,,,,,,,
8/4/2017,3262.0809,3287.1929,3261.3066,3269.3182,3272.9286,-10.8477,-0.3314,275906340,2.86E+11,,,,,,,
8/3/2017,3272.9286,3293.3686,3262.1554,3279.9864,3285.0568,-12.1282,-0.3692,233277004,2.44E+11,,,,,,,
8/2/2017,3285.0568,3305.4313,3282.0377,3288.5183,3292.6383,-7.5815,-0.2303,266730628,2.79E+11,,,,,,,
